City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
158,Marsh Harbour,BS,26.54,-77.06,79.74,74,100,11.23,overcast clouds,0.0,0
159,Shingu,JP,33.73,135.98,69.19,78,100,6.29,overcast clouds,0.0,0
160,Tiksi,RU,71.69,128.87,59.45,80,100,4.29,overcast clouds,0.0,0
161,Tuatapere,NZ,-46.13,167.68,39.0,83,72,3.0,broken clouds,0.0,0
162,Cascais,PT,38.7,-9.42,75.99,57,0,12.75,clear sky,0.0,0
163,Meghraj,IN,23.5,73.5,79.92,88,100,11.45,moderate rain,3.25,0
164,Erdenet,MN,49.03,104.08,53.87,89,71,1.59,broken clouds,0.0,0
165,Cidreira,BR,-30.18,-50.21,57.63,89,99,10.63,overcast clouds,0.0,0
166,Inuvik,CA,68.35,-133.72,60.8,44,75,10.29,broken clouds,0.0,0
167,Klyuchi,RU,52.27,79.17,65.01,90,45,8.3,scattered clouds,0.0,0
168,San Cristobal,VE,7.77,-72.22,87.8,52,40,6.93,thunderstorm,0.0,0
169,Dikson,RU,73.51,80.55,42.35,97,99,6.38,overcast clouds,0.0,0
170,North Bend,US,43.41,-124.22,77.0,68,1,17.22,clear sky,0.0,0
171,Qaanaaq,GL,77.48,-69.36,47.61,58,86,3.8,overcast clouds,0.0,0
172,Yavatmal,IN,20.4,78.13,81.16,72,91,7.14,overcast clouds,0.0,0
173,Damaturu,NG,11.75,11.96,78.42,70,13,8.88,few clouds,0.0,0
174,Thompson,CA,55.74,-97.86,71.6,56,75,6.93,broken clouds,0.0,0
175,Pochutla,MX,15.74,-96.47,88.0,66,75,9.17,broken clouds,0.0,0
176,Fergus Falls,US,46.28,-96.08,82.0,50,1,4.7,clear sky,0.0,0
177,Manta,EC,-0.95,-80.73,76.44,79,60,13.22,broken clouds,0.0,0
178,Bathsheba,BB,13.22,-59.52,84.2,79,40,10.29,scattered clouds,0.0,0
179,Saint-Philippe,RE,-21.36,55.77,66.2,68,27,2.24,light rain,0.71,0
180,Arraial Do Cabo,BR,-22.97,-42.03,82.4,51,66,8.05,broken clouds,0.0,0
181,Lufilufi,WS,-13.87,-171.6,82.51,76,1,19.01,light rain,0.5,0
182,Nokha,IN,27.6,73.42,90.97,55,46,21.79,scattered clouds,0.0,0
183,Zhigansk,RU,66.77,123.37,65.07,61,63,2.51,broken clouds,0.0,0
184,Hudson Bay,CA,52.85,-102.38,79.34,50,100,8.55,overcast clouds,0.0,0
185,Georgetown,MY,5.41,100.34,80.6,94,40,3.04,scattered clouds,0.0,0
186,Avera,US,33.19,-82.53,93.99,41,1,4.7,clear sky,0.0,0
187,Kirovskiy,RU,45.09,133.51,61.14,91,23,1.16,few clouds,0.0,0
188,Ponta Do Sol,PT,32.67,-17.1,73.0,73,0,4.92,clear sky,0.0,0
189,Qiongshan,CN,20.01,110.35,80.6,88,0,4.47,clear sky,0.0,0
190,Condado,CU,21.88,-79.84,89.6,62,100,10.29,light rain,0.8,0
191,San Carlos De Bariloche,AR,-41.15,-71.31,37.4,47,40,13.87,scattered clouds,0.0,0
192,Saint Marys,US,30.73,-81.55,95.0,46,40,9.17,scattered clouds,0.0,0
193,Kilindoni,TZ,-7.91,39.67,77.45,75,0,14.81,clear sky,0.0,0
194,Salalah,OM,17.02,54.09,82.4,88,90,4.7,overcast clouds,0.0,0
195,Teremia Mare,RO,45.94,20.52,55.4,93,14,2.24,few clouds,0.0,0
196,Ngunguru,NZ,-35.62,174.5,53.01,3,22,1.99,few clouds,0.0,0
197,Iqaluit,CA,63.75,-68.51,59.0,62,75,20.8,light intensity shower rain,0.0,0
198,Souillac,MU,-20.52,57.52,71.6,73,20,14.99,few clouds,0.0,0
